nestoriaanse	nestoriaans	ADJ(quali,pos,inflected)	ADJ
uitgestudeerde	uitgestudeerd	ADJ(quali,pos,inflected)	ADJ
televisiegeneratie	televisiegeneratie	NOU(comm,sg,f)	NOU
bouwbedrijf	bouwbedrijf	NOU(comm,sg,n)	NOU
Duvalier	Duvalier	NOU(prop,sg,-)	NOU
kuist	kuis	ADJ(quali,sup,basic)	ADJ
readymade	readymade	NOU(comm,sg,m)	NOU
studentenjaren	studentenjaar	NOU(comm,pl,n)	NOU
explodeer	exploderen	VRB(mai,ind,pres,1,sg,int)	VRB
kaperschip	kaperschip	NOU(comm,sg,n)	NOU
biofysicus	biofysicus	NOU(comm,sg,m)	NOU
eraantoe	eraantoe	ADV(pron,=)	ADV
familieaandeelhouder	familieaandeelhouder	NOU(comm,sg,m)	NOU
aanvaarden	aanvaarden	VRB(mai,ind,pres,1/2/3,pl,trs)	VRB
ontkalkte	ontkalken	VRB(mai,ind,impf,1/2/3,sg,trs)	VRB
belegger	belegger	NOU(comm,sg,m)	NOU
omkapte	omkappen	VRB(mai,ind,impf,1/2/3,sg,trs)	VRB
bakerrijmen	bakerrijm	NOU(comm,pl,n)	NOU
klant	klant	NOU(comm,sg,m)	NOU
terechtkom	terechtkomen	VRB(mai,ind,pres,1,sg,int)	VRB
verkletsen	verkletsen	VRB(mai,inf,withoutt,withoutp,withoutn,trs)	VRB
bewustzijnsverschijnselen	bewustzijnsverschijnselen	NOU(comm,pl,withoutg)	NOU
Rosalind	Rosalind	NOU(prop,sg,f)	NOU
bedachtzaamheid	bedachtzaamheid	NOU(comm,sg,f)	NOU
scheelzie	scheelzien	VRB(mai,ind,pres,1,sg,int)	VRB
verhoogd	verhoogd	ADJ(quali,pos,basic)	ADJ
neersteekt	neersteken	VRB(mai,ind,pres,2/3,sg,trs)	VRB
kletsverhalen	kletsverhaal	NOU(comm,pl,n)	NOU
bezaaid	bezaaien	VRB(mai,part,past,withoutp,withoutn,trs)	VRB
roezemoezen	roezemoezen	VRB(mai,inf,withoutt,withoutp,withoutn,int)	VRB
niet-produktieve	niet-productief	ADJ(quali,pos,inflected)	ADJ
gebrandmerkt	brandmerken	VRB(mai,part,past,withoutp,withoutn,trs)	VRB
Vorster	Vorster	NOU(prop,sg,-)	NOU
uitbraakpogingen	uitbraakpoging	NOU(comm,pl,f)	NOU
